date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:46:43	9220/9220	---M--	404	error ('Not%20Found')	text/html	etag:%222404-5c776fdf63113%22	https://tomato6966.xyz/robots.txt		(from )
16:46:43	31845/31845	---M--	200	added ('OK')	text/html	etag:%2261c8da0a-7c65%22	https://tomato6966.xyz/	D:/Tomato's%20Site/Tomato's%20Site/tomato6966.xyz/index.html	(from )
16:46:43	8936/8936	---M--	200	added ('OK')	image/png	etag:%2261b9d836-22e8%22	https://tomato6966.xyz/assets/img/favicon.png	D:/Tomato's%20Site/Tomato's%20Site/tomato6966.xyz/assets/img/favicon.png	(from https://tomato6966.xyz/)
16:46:44	18966/18966	---M--	200	added ('OK')	image/png	etag:%2261b9fca8-4a16%22	https://tomato6966.xyz/assets/img/apple-touch-icon.png	D:/Tomato's%20Site/Tomato's%20Site/tomato6966.xyz/assets/img/apple-touch-icon.png	(from https://tomato6966.xyz/)
16:46:45	26053/26053	---M--	200	added ('OK')	text/css	etag:%2261b9d1ce-65c5%22	https://tomato6966.xyz/assets/vendor/aos/aos.css	D:/Tomato's%20Site/Tomato's%20Site/tomato6966.xyz/assets/vendor/aos/aos.css	(from https://tomato6966.xyz/)
16:46:46	73271/73271	---M--	200	added ('OK')	text/css	etag:%2261b9d1ce-11e37%22	https://tomato6966.xyz/assets/vendor/bootstrap-icons/bootstrap-icons.css	D:/Tomato's%20Site/Tomato's%20Site/tomato6966.xyz/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://tomato6966.xyz/)
16:46:46	163873/163873	---M--	200	added ('OK')	text/css	etag:%2261b9d1ce-28021%22	https://tomato6966.xyz/assets/vendor/bootstrap/css/bootstrap.min.css	D:/Tomato's%20Site/Tomato's%20Site/tomato6966.xyz/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://tomato6966.xyz/)
16:46:48	13785/13785	---M--	200	added ('OK')	text/css	etag:%2261b9d1d0-35d9%22	https://tomato6966.xyz/assets/vendor/glightbox/css/glightbox.min.css	D:/Tomato's%20Site/Tomato's%20Site/tomato6966.xyz/assets/vendor/glightbox/css/glightbox.min.css	(from https://tomato6966.xyz/)
16:46:49	15563/15563	---M--	200	added ('OK')	text/css	etag:%2261b9d1d0-3ccb%22	https://tomato6966.xyz/assets/vendor/swiper/swiper-bundle.min.css	D:/Tomato's%20Site/Tomato's%20Site/tomato6966.xyz/assets/vendor/swiper/swiper-bundle.min.css	(from https://tomato6966.xyz/)
16:46:49	63781/63781	---M--	200	added ('OK')	text/css	etag:%2261b9d1ce-f925%22	https://tomato6966.xyz/assets/vendor/boxicons/css/boxicons.min.css	D:/Tomato's%20Site/Tomato's%20Site/tomato6966.xyz/assets/vendor/boxicons/css/boxicons.min.css	(from https://tomato6966.xyz/)
16:46:49	20466/20466	---M--	200	added ('OK')	text/css	etag:%2261ba2bb3-4ff2%22	https://tomato6966.xyz/assets/css/style.css	D:/Tomato's%20Site/Tomato's%20Site/tomato6966.xyz/assets/css/style.css	(from https://tomato6966.xyz/)
16:46:50	31845/31845	---M--	200	added ('OK')	text/html	etag:%2261c8da0a-7c65%22	https://tomato6966.xyz/index.html	D:/Tomato's%20Site/Tomato's%20Site/tomato6966.xyz/index-2.html	(from https://tomato6966.xyz/)
16:46:50	9220/9220	---M--	404	error ('Not%20Found')	text/html	etag:%222404-5c776fdf63113%22	https://tomato6966.xyz/www.milrato.dev	D:/Tomato's%20Site/Tomato's%20Site/tomato6966.xyz/www.milrato.dev	(from https://tomato6966.xyz/)
16:46:51	68307/68307	---M--	200	added ('OK')	image/jpeg	etag:%2261b9d36a-10ad3%22	https://tomato6966.xyz/assets/img/profile-img.jpg	D:/Tomato's%20Site/Tomato's%20Site/tomato6966.xyz/assets/img/profile-img.jpg	(from https://tomato6966.xyz/)
